,,Zestaw →,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,2,2,,,,3,3,3,3,3,3,,,,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,5,5,,,,7,7,7,7,7,7,,,,,,8,8,8,8,8,8,8,8,,,,,,9,9,9,9,9,9,,,,,,10,10,10,,,,,,11,11,11,11,11,,,,,,12,12,12,,,,,,13,13,,,,,,14,14,14,14,14,,,,,,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
ID:,,Zadanie →,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,,suma punktów,l. zadań:,,A,B,C,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,A,B,C,D,E,F,G,H,suma punktów,l. zadań:,,A,B,C,D,E,F,G,I,suma punktów,l. zadań:,,A,B,C,D,E,F,suma punktów,l. zadań:,,,,A,B,C,D,E,F,G,H,total points:,total assign:,,,,A,B,C,D,E,F,total points:,total assign:,,,,A,B,C,total points:,total assign:,,,,A,B,C,D,E,total points:,total assign:,,,,A,B,C,total points:,total assign:,,,,A,B,total points:,total assign:,,,,A,B,C,D,E,total points:,total assign:,,,,A,B,C,D,E,F,G,H,I,J,K,total points:,total assign:,,all points:,,Kolokwium 1:,Kolokwium 2:,Kolokwium 3:,,średnia z kolokwiów:,,ocena z zadań:,,ocena z ćwiczeń:
5257879,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2,3,0,5,2,,2,2,0,0,0,0,4,2,,0,2,2,0,0,2,0,0,6,3,,2,0,0,0,2,0,2,0,6,3,,0,2,2,2,0,0,6,3,,,,2,0,2,0,0,0,0,2,6,3,,,,2,2,2,0,0,0,6,3,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,2,2,0,4,2,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,43,,5,3,5,,4.33333333333333,,3,,3.5
3971854,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,2,,2,,2
6973740,,,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,,6,6,,2,0,0,2,1,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,2,0,0,0,6,3,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,,5,2,5,,2,,2,,2
2421825,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,2,,2,,2
5527018,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,2,2,2,2,0,0,8,4,,2,2,4,2,2,0,2,2,16,7,,2,2,2,2,0,2,10,5,,,,2,0,2,2,2,2,2,2,14,7,,,,0,0,0,0,0,0,0,0,,,,2,0,0,2,1,,,,0,0,2,2,2,6,3,,,,0,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,59,,5,4,5,,4.66666666666667,,3.5,,4
6162234,,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,3,3,,0,3,0,3,1,,0,0,0,5,2,0,7,2,,2,0,0,0,0,2,0,0,4,2,,2,2,0,2,2,0,0,0,8,4,,0,0,2,0,2,2,6,3,,,,0,0,2,2,0,0,0,0,4,2,,,,0,0,0,0,0,0,0,0,,,,2,0,0,2,1,,,,0,0,0,2,2,4,2,,,,0,2,0,2,1,,,,2,0,2,1,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,45,,5,5,4,,4.66666666666667,,3,,3.5
8599267,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,3,3,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,0,0,2,0,0,8,4,,2,2,0,2,2,2,2,0,12,6,,2,0,2,0,0,0,4,2,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,2,2,2,6,3,,,,2,2,2,2,2,10,5,,,,2,0,0,2,1,,,,2,2,4,2,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,49,,5,3,5,,4.33333333333333,,3,,3.5
7599730,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,2,,0,0,0,0,0,,0,0,0,5,2,5,12,3,,0,2,0,2,2,2,0,0,8,4,,2,2,0,0,2,0,0,0,6,3,,0,0,2,0,2,0,4,2,,,,0,0,2,0,0,2,0,2,6,3,,,,2,2,0,0,0,0,4,2,,,,0,2,2,4,2,,,,2,0,0,2,2,6,3,,,,0,2,0,2,1,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,54,,5,5,5,,5,,3,,3.5
